Tag;"Tag im
Monat";Monat;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";;;;;;;
33;2;2;0,00;-60,41;1216,49;-4,84;77,30;4,78;0,06;0,99;1,41;1,72;2,26;0,36;-0,50;-8,68;0,00;;;;;;;
34;3;2;0,00;-507,40;1452,83;-0,58;88,83;5,75;0,08;0,91;1,30;1,62;2,14;0,34;1,73;-2,69;0,00;;;;;;;
35;4;2;0,00;-70,33;1739,86;-0,14;82,75;4,12;0,09;0,89;1,25;1,55;2,05;0,35;2,81;-2,75;0,00;;;;;;;
36;5;2;0,00;324,28;1085,71;1,93;96,79;3,48;0,14;0,88;1,22;1,51;1,98;0,38;3,85;-0,25;0,00;;;;;;;
37;6;2;0,00;314,22;435,43;3,62;91,81;3,64;0,18;0,88;1,20;1,48;1,93;0,42;5,22;2,61;0,00;;;;;;;
38;7;2;0,00;284,74;1177,09;2,53;87,68;4,58;0,19;0,87;1,17;1,44;1,87;0,43;4,78;1,25;0,00;;;;;;;
39;8;2;0,00;636,72;1484,90;3,45;95,25;4,55;0,21;0,89;1,18;1,43;1,85;0,46;4,89;2,02;0,00;;;;;;;
40;9;2;0,00;496,22;1167,90;5,38;78,45;4,15;0,24;0,92;1,19;1,44;1,83;0,52;7,98;3,78;0,00;;;;;;;
41;10;2;0,00;279,79;1661,15;5,10;78,64;3,34;0,27;0,94;1,19;1,42;1,80;0,58;9,60;2,91;0,00;;;;;;;
42;11;2;0,00;366,47;1127,42;6,03;90,07;4,48;1,02;1,28;1,32;1,49;1,82;1,40;10,51;2,59;0,00;;;;;;;
43;12;2;0,00;618,80;1359,33;11,49;81,75;7,39;5,00;3,89;2,97;2,57;2,37;5,11;13,68;9,92;0,00;;;;;;;
44;13;2;0,00;169,89;254,90;11,15;96,81;4,91;7,29;6,21;5,06;4,33;3,64;7,40;12,31;10,59;0,00;;;;;;;
45;14;2;0,00;651,51;1744,75;11,73;87,89;4,53;7,96;7,09;6,08;5,38;4,62;8,03;15,20;9,61;0,00;;;;;;;
46;15;2;0,00;392,34;1222,99;11,17;81,29;4,39;7,54;7,14;6,45;5,91;5,27;7,65;13,76;9,08;0,00;;;;;;;
47;16;2;0,00;36,01;412,81;10,95;75,85;6,79;7,32;7,14;6,61;6,17;5,63;7,47;12,45;8,45;0,00;;;;;;;
48;17;2;0,20;888,38;2103,82;5,80;89,81;4,50;6,70;6,83;6,51;6,18;5,78;6,86;8,55;3,85;0,20;;;;;;;
49;18;2;0,00;448,12;1231,96;6,30;91,63;3,70;5,77;6,07;5,96;5,82;5,65;5,98;10,43;4,68;0,00;;;;;;;
50;19;2;0,00;24,65;830,66;6,54;84,75;4,53;5,06;5,53;5,57;5,53;5,48;5,27;7,88;5,31;0,00;;;;;;;
51;20;2;0,00;571,82;1673,77;7,78;91,86;2,94;5,72;5,69;5,46;5,34;5,29;5,87;12,52;3,21;0,00;;;;;;;
52;21;2;0,00;497,00;1964,44;11,34;76,50;4,32;6,71;6,40;5,98;5,71;5,48;6,76;15,01;8,29;0,00;;;;;;;
53;22;2;0,00;452,45;1441,89;9,44;85,29;2,42;7,57;7,23;6,69;6,28;5,88;7,64;12,62;6,75;0,00;;;;;;;
54;23;2;0,00;822,68;2463,85;6,99;85,37;4,36;6,83;6,94;6,69;6,42;6,13;6,93;9,20;4,81;0,00;;;;;;;
55;24;2;0,00;342,18;535,31;9,09;97,63;5,30;7,32;7,13;6,73;6,46;6,20;7,49;10,20;7,83;0,00;;;;;;;
56;25;2;0,00;322,06;501,25;8,99;101,63;3,44;8,17;7,86;7,29;6,88;6,48;8,33;10,25;8,21;0,00;;;;;;;
57;26;2;0,00;333,06;599,53;9,07;94,20;3,79;8,02;7,93;7,50;7,15;6,76;8,21;10,40;8,22;0,00;;;;;;;
58;27;2;0,00;413,41;719,30;8,41;85,04;8,19;7,45;7,65;7,40;7,16;6,86;7,67;9,20;6,60;0,20;;;;;;;
59;28;2;1,39;622,96;1463,55;4,35;88,23;7,91;5,82;6,63;6,78;6,75;6,69;6,07;8,79;0,81;1,19;;;;;;;
60;1;3;0,00;432,34;1527,90;2,05;91,87;6,38;3,57;4,77;5,35;5,67;6,03;3,86;4,62;0,76;0,00;;;;;;;
61;2;3;11,30;694,37;1338,73;5,93;88,83;6,49;4,36;4,78;4,95;5,14;5,48;4,62;9,29;1,69;11,30;;;;;;;
62;3;3;0,00;243,49;410,51;9,00;95,45;8,01;6,26;6,03;5,71;5,58;5,56;6,44;13,55;6,92;0,00;;;;;;;
63;4;3;9,30;749,62;1273,53;12,72;81,88;9,86;8,91;8,01;7,10;6,56;6,10;8,95;16,03;5,98;9,30;;;;;;;
64;5;3;0,00;366,36;1486,16;4,96;90,38;6,93;6,43;7,16;7,13;6,93;6,65;6,70;6,53;3,08;0,00;;;;;;;
65;6;3;8,97;393,75;748,99;2,97;99,48;3,77;4,90;5,71;5,98;6,11;6,25;5,23;4,01;2,08;8,97;;;;;;;
66;7;3;8,97;537,05;902,59;8,62;98,10;6,44;6,57;6,41;6,11;6,01;6,02;6,84;10,86;3,24;8,97;;;;;;;
67;8;3;8,97;44,09;600,72;4,71;94,24;4,91;6,51;6,94;6,74;6,52;6,31;6,75;8,18;-0,81;8,97;;;;;;;
68;9;3;0,00;1258,19;3313,17;0,90;83,23;3,38;3,46;4,71;5,32;5,65;5,96;3,70;5,38;-2,62;0,00;;;;;;;
69;10;3;0,00;417,76;1232,44;1,55;99,08;2,44;3,13;4,07;4,53;4,86;5,30;3,41;3,92;-0,35;0,00;;;;;;;
70;11;3;0,00;1154,02;2631,17;3,36;75,84;3,77;3,17;3,95;4,27;4,55;4,95;3,50;6,51;0,59;0,00;;;;;;;
71;12;3;0,00;688,17;1715,13;2,29;86,15;3,34;3,51;4,21;4,38;4,52;4,82;3,82;5,05;-0,12;0,00;;;;;;;
72;13;3;0,00;973,51;2037,14;2,23;92,10;4,74;2,80;3,59;3,98;4,25;4,64;3,02;5,69;-1,12;0,00;;;;;;;
73;14;3;0,00;761,99;860,87;5,69;94,25;5,82;4,67;4,67;4,49;4,46;4,61;4,86;6,75;5,12;0,00;;;;;;;
74;15;3;0,00;698,28;830,33;7,43;99,25;4,66;5,94;5,68;5,27;5,07;4,98;6,13;9,92;5,23;0,00;;;;;;;
75;16;3;0,00;551,91;672,34;8,40;101,58;3,96;7,08;6,71;6,15;5,80;5,50;7,24;10,55;6,70;0,00;;;;;;;
76;17;3;0,00;722,32;927,68;8,93;95,73;4,43;7,79;7,44;6,85;6,43;6,02;7,94;10,25;7,52;0,00;;;;;;;
77;18;3;0,00;490,62;894,84;8,60;89,06;4,53;7,73;7,63;7,17;6,81;6,41;7,90;10,34;3,92;0,00;;;;;;;
78;19;3;0,00;1077,40;2198,02;4,55;85,92;4,64;5,89;6,57;6,63;6,57;6,44;6,15;6,87;2,84;0,00;;;;;;;
79;20;3;0,00;1159,73;2070,70;4,84;82,76;6,13;5,46;6,04;6,11;6,14;6,17;5,72;6,82;3,10;0,00;;;;;;;
80;21;3;7,80;2281,10;3960,06;3,19;72,51;2,92;4,70;5,33;5,56;5,69;5,87;4,82;7,82;-2,28;7,80;;;;;;;
81;22;3;0,00;1057,50;1740,20;3,50;82,28;1,87;5,07;5,46;5,49;5,53;5,66;5,29;6,68;0,32;0,00;;;;;;;
82;23;3;0,00;1713,88;3321,36;2,16;80,51;5,08;4,51;5,41;5,51;5,54;5,64;5,01;5,22;0,18;0,00;;;;;;;
83;24;3;0,00;1988,77;4284,55;1,95;73,07;1,77;3,78;4,53;4,83;5,05;5,36;4,02;7,48;-2,91;0,00;;;;;;;
84;25;3;0,00;2267,13;4346,20;3,24;68,43;1,68;4,26;4,63;4,75;4,86;5,11;4,34;9,98;-3,46;0,00;;;;;;;
85;26;3;0,00;2147,18;4286,73;5,37;61,58;3,11;4,61;4,94;4,99;5,01;5,16;4,73;11,60;-1,40;0,00;;;;;;;
86;27;3;0,00;552,49;797,69;8,33;90,60;4,83;6,23;6,07;5,71;5,51;5,43;6,41;10,32;6,79;0,00;;;;;;;
87;28;3;0,00;719,95;1164,57;10,66;93,57;2,24;7,99;7,37;6,68;6,26;5,93;8,09;13,08;8,50;0,00;;;;;;;
88;29;3;0,00;295,02;4196,37;13,47;79,86;3,07;9,61;8,54;7,62;7,04;6,51;9,50;20,14;7,68;0,00;;;;;;;
89;30;3;0,00;239,08;3983,42;13,33;75,72;2,96;10,33;9,59;8,69;8,00;7,29;10,33;20,06;7,15;0,00;;;;;;;
90;31;3;0,00;230,96;2143,70;13,27;91,93;2,47;10,92;10,25;9,34;8,66;7,92;11,00;18,08;9,42;0,00;;;;;;;
91;1;4;6,40;52,98;1443,43;9,26;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;12,07;5,07;6,40;;;;;;;
92;2;4;8,80;178,24;1258,75;9,89;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;11,16;8,57;8,80;;;;;;;
93;3;4;2,3;220,16;1326,07;10,84;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;14,41;8,38;2,3;;;;;;;
94;4;4;0,9;593,22;1925,07;10,14;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;11,73;8,29;0,9;;;;;;;
95;5;4;3,9;990,99;2563,74;9,96;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;13,45;7,14;3,9;;;;;;;
96;6;4;5,40;1230,20;2947,83;9,51;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;12,49;6,95;5,40;;;;;;;
97;7;4;11,90;896,44;2411,93;8,64;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;11,16;6,85;11,90;;;;;;;
98;8;4;2,20;408,91;1629,12;8,24;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;10,49;5,99;2,20;;;;;;;
99;9;4;3,10;678,43;2061,89;7,06;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;8,57;5,71;3,10;;;;;;;
100;10;4;0,70;1336,83;3119,05;9,19;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;13,36;4,75;0,70;;;;;;;
101;11;4;2,50;875,49;2378,30;9,20;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;12,40;6,47;2,50;;;;;;;
102;12;4;0,00;1128,94;2785,25;6,38;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;9,53;3,79;0,00;;;;;;;
103;13;4;0,10;1997,03;4179,10;5,71;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;9,53;1,88;0,10;;;;;;;
104;14;4;0,00;1862,05;3962,37;5,84;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;9,53;1,88;0,00;;;;;;;
105;15;4;0,60;720,80;2129,91;7,12;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;11,44;2,84;0,60;;;;;;;
106;16;4;0,50;1517,03;3408,38;6,81;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;10,49;2,84;0,50;;;;;;;
107;17;4;0,00;1937,80;4084,00;9,27;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;14,31;3,79;0,00;;;;;;;
108;18;4;0,00;888,25;2398,78;8,01;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;10,49;5,71;0,00;;;;;;;
109;19;4;0,00;1987,35;4163,56;8,88;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;13,36;4,75;0,00;;;;;;;
110;20;4;5,00;1434,10;3275,22;9,43;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;14,31;3,79;5,00;;;;;;;
111;21;4;3,50;1436,72;3279,44;10,09;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;14,31;6,47;3,50;;;;;;;
112;22;4;0,00;2670,02;5259,69;10,98;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;17,18;3,79;0,00;;;;;;;
113;23;4;0,50;2946,25;5703,22;14,32;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;20,05;7,62;0,50;;;;;;;
114;24;4;0,70;1201,72;2902,11;13,75;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;16,22;11,44;0,70;;;;;;;
115;25;4;0,00;1323,03;3096,89;13,95;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;17,18;10,49;0,00;;;;;;;
116;26;4;10,00;265,38;1398,67;12,99;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;15,27;10,30;10,00;;;;;;;
117;27;4;6,40;609,96;1951,94;11,12;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;13,36;8,57;6,40;;;;;;;
118;28;4;7,00;75,15;1093,23;10,84;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;12,40;9,53;7,00;;;;;;;
119;29;4;2,90;-39,55;909,06;9,69;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;10,49;8,57;2,90;;;;;;;
120;30;4;1,30;1142,49;2807,00;14,33;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;19,09;9,53;1,30;;;;;;;
