Bezeichnung;Pa. Nr.;Tiefe;Raster;Schnittpkt.;Wurzellängendichte;PARZNR.;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due;Vord
ze;33;90;1;163;0.170;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;33;105;1;47;0.049;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;33;120;1;37;0.039;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
no;34;15;9;372;3.489;34;2;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;34;30;;;.;34;2;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;34;60;1;54;0.056;34;2;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;34;75;5;84;0.438;34;2;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;34;90;1;77;0.080;34;2;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;34;105;2.5;105;0.274;34;2;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;34;120;1;161;0.168;34;2;Agrar;WWeizen;Senf;Pflug;ohne N;Red
ze;34;15;2.5;297;0.774;34;2;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;34;30;1;293;0.305;34;2;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;34;45;1;336;0.350;34;2;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;34;60;1;129;0.134;34;2;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;34;75;1;181;0.189;34;2;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;34;90;1;110;0.115;34;2;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;34;120;;;0.000;34;2;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
no;55;15;;;.;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;55;30;1;344;0.358;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;55;45;1;233;0.243;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;55;60;1;81;0.084;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;55;75;1;137;0.143;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;55;90;1;117;0.122;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;55;105;1;136;0.142;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;55;120;1;53;0.055;55;3;Agrar;WWeizen;Senf;Pflug;ohne N;Red
ze;55;15;7.5;275;2.149;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;55;30;1;261;0.272;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;55;45;1;95;0.099;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;55;60;1;225;0.234;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;55;75;1;105;0.109;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;55;90;1;75;0.078;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;55;105;1;116;0.121;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;55;120;1;86;0.090;55;3;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
no;60;15;1;283;0.295;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;60;30;1;196;0.204;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;60;45;2.5;276;0.719;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;60;60;;;.;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;60;75;1;178;0.185;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;60;90;1;93;0.097;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;60;105;1;91;0.095;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;60;120;1;47;0.049;60;3;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
ze;60;15;2.5;277;0.722;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;60;30;2.5;243;0.633;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;60;45;1;150;0.156;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;60;60;1;64;0.067;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;60;75;1;161;0.168;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;60;90;1;49;0.051;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;60;105;1;37;0.039;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;60;120;1;21;0.022;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
no;73;15;2.5;266;0.693;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;73;30;2.5;285;0.742;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;73;45;2.5;241;0.628;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;73;60;1;260;0.271;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;73;75;1;310;0.323;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;73;90;;;;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;73;105;;;;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;73;120;;;;73;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
ze;73;15;5;233;1.214;73;3;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;73;30;1;288;0.300;73;3;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;73;45;5;246;1.282;73;3;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;73;60;1;173;0.180;73;3;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;73;75;1;136;0.142;73;3;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;73;105;1;176;0.183;73;3;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;73;120;1;171;0.178;73;3;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
no;74;15;7.5;219;1.712;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;74;30;2.5;269;0.701;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;34;45;1;141;0.147;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;74;45;1;172;0.179;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;74;60;1;277;0.289;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;74;75;1;119;0.124;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;74;90;1;143;0.149;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;74;105;1;87;0.091;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;74;120;1;162;0.169;74;3;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
ze;74;15;5;201;1.047;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;74;30;5;242;1.261;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;74;45;1;62;0.065;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;74;60;1;148;0.154;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;74;75;1;399;0.416;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;74;90;1;133;0.139;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;74;105;1;58;0.060;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;74;120;1;146;0.152;74;3;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
