Parzelle;Rohr;Blickrichtung;Tiefe;TK;Bonitur;Datum;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due
3;b;links;60;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;65;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;70;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;75;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;80;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;85;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;90;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;95;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;100;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;105;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;110;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;115;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;120;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;5;15;2;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;10;15;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;15;15;1;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;20;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;25;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;30;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;35;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;40;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;45;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;50;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;55;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;60;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;65;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;70;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;75;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;80;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;rechts;85;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
