PaNr;Reihe;Blickrichtung;Tiefe;Bonitur;Datum;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBE;N-DÜNGUNG
11;2;1;100;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;105;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;110;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;115;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;120;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;5;0;15.05.1995;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;10;2;15.05.1995;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;15;1;15.05.1995;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;20;1.5;15.05.1995;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;25;2.5;15.05.1995;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;30;1.5;15.05.1995;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;35;1;15.05.1995;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;40;0.5;15.05.1995;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;45;1;15.05.1995;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;50;1;15.05.1995;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;55;0;15.05.1995;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;60;0.5;15.05.1995;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;65;0;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;70;1;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;75;1;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;80;0;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;85;0;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;90;0;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;95;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;100;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;105;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;110;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;115;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;2;120;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
16;1;1;5;2.5;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;10;0;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;15;0.5;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;20;1.5;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;25;2.8;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;30;5;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
