Datum;Variante;Rohr;Blickrichtung;Tiefe;Bonitur;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG
26.04.1995;60;2;2;10;1;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;15;1;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;20;1.5;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;25;1.5;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;30;2.5;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;35;1.5;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;40;2;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;45;0.5;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;50;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;55;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;60;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;65;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;70;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;75;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;80;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;85;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;90;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;95;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;100;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;105;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;110;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;115;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;120;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;55;1;1;5;2;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;10;1.5;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
