Datum;Tag;PaNr;Rohr;Blickrichtung;Tiefe;TK;Bonitur;WLD berech.;PaNr;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due
15.04.1997;105;59;a;links;40;45;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;45;45;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;50;60;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;55;60;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;60;60;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;65;75;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;70;75;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;75;75;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;80;90;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;85;90;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;90;90;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;95;105;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;100;105;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;105;105;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;110;120;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;115;120;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;links;120;120;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;5;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;10;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;15;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;20;30;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;25;30;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;30;30;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;35;45;1;0.8094;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;40;45;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;45;45;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;50;60;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;55;60;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;60;60;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;65;75;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;70;75;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;75;75;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;80;90;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;85;90;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;90;90;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;95;105;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;100;105;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;105;105;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;110;120;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;115;120;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;a;rechts;120;120;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;b;links;5;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;b;links;10;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
15.04.1997;105;59;b;links;15;15;0;0;59;3;Agrar;Weizen;Senf;Pflug;Off.--50%
