Tag;"Tag im
Monat";Monat;Woche;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";es;;;;;;
147;27;5;21;1,19;1604,49;2898,14;10,20;91,53;4,92;999,00;15,28;14,77;999,00;13,77;15,78;11,84;8,70;1,00;12,45;;;;;;
148;28;5;22;0,20;2455,59;4594,71;11,16;84,52;3,26;999,00;14,58;13,98;999,00;13,19;15,35;15,88;7,07;0,00;13,28;;;;;;
149;29;5;22;0,00;2901,51;5288,63;10,35;90,23;3,57;999,00;15,32;14,49;999,00;13,33;16,31;14,20;6,93;0,00;12,58;;;;;;
150;30;5;22;0,00;4035,05;7855,61;12,17;71,65;3,05;999,00;16,22;15,02;999,00;13,49;17,73;16,77;7,80;0,00;14,20;;;;;;
151;31;5;22;0,00;3626,02;7285,72;10,81;67,15;2,08;999,00;16,59;15,39;999,00;13,78;18,03;15,61;3,26;0,00;12,97;;;;;;
152;1;6;22;0,00;3084,90;5896,72;12,20;75,90;3,11;999,00;16,53;15,42;999,00;13,91;17,89;17,73;6,19;0,00;14,23;;;;;;
153;2;6;22;0,00;4083,01;8005,14;14,87;62,84;2,69;999,00;17,25;15,85;999,00;14,07;19,05;19,68;8,29;0,00;16,93;;;;;;
154;3;6;22;0,00;3893,90;7412,46;14,38;70,97;1,39;999,00;17,94;16,45;999,00;14,47;19,72;20,48;7,32;0,00;16,40;;;;;;
155;4;6;23;0,00;3774,29;6908,93;16,31;72,94;1,28;999,00;18,45;16,95;999,00;14,85;20,18;22,75;8,07;0,00;18,57;;;;;;
156;5;6;23;0,00;4116,30;7753,28;18,21;68,99;2,41;999,00;19,12;17,52;999,00;15,26;21,08;23,60;9,41;0,00;20,94;;;;;;
157;6;6;23;0,60;3882,62;7820,38;19,05;68,47;3,38;999,00;19,40;17,82;999,00;15,55;21,34;24,33;11,88;0,60;22,07;;;;;;
158;7;6;23;0,00;3861,10;7647,17;19,78;66,42;2,99;999,00;19,92;18,25;999,00;15,86;22,03;25,53;12,19;0,00;23,11;;;;;;
159;8;6;23;0,40;2061,02;4209,98;18,32;81,99;2,00;999,00;20,20;18,77;999,00;16,38;21,79;23,87;12,72;2,59;21,08;;;;;;
160;9;6;23;2,19;4052,58;7494,73;17,68;83,39;2,58;470,16;20,22;19,07;467,89;16,72;21,31;21,53;13,85;0,00;20,26;;;;;;
161;10;6;23;0,00;3970,08;7633,96;17,21;79,88;1,35;20,91;20,36;19,22;17,96;16,99;21,41;22,99;9,34;0,00;19,67;;;;;;
162;11;6;24;0,00;3829,13;7307,27;20,26;67,60;2,84;21,02;20,45;19,15;17,76;16,87;21,67;26,39;13,08;0,20;23,80;;;;;;
163;12;6;24;0,20;3351,93;5932,25;20,08;83,18;1,79;21,84;20,98;19,53;18,02;17,09;22,40;23,94;15,11;0,00;23,54;;;;;;
164;13;6;24;8,36;3157,66;5601,30;18,71;87,51;1,72;21,91;21,25;19,92;18,40;17,47;22,42;23,29;14,26;8,56;21,61;;;;;;
