Tag;"Tag im
Monat";Monat;Woche;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";es;;;;;;
337;3;12;49;0,00;81,71;283,72;-0,30;101,23;3,00;2,07;3,22;3,90;4,37;5,17;2,40;0,16;-0,67;0,20;5,98;;;;;;
338;4;12;49;3,38;-24,87;186,33;-0,07;101,32;2,19;2,34;3,28;3,79;4,16;4,89;2,63;0,97;-2,96;3,18;6,08;;;;;;
339;5;12;49;0,20;21,25;403,51;-0,88;97,38;3,92;1,69;2,83;3,47;3,89;4,65;2,02;1,43;-5,04;0,40;5,73;;;;;;
340;6;12;49;3,58;0,45;444,81;1,82;94,72;6,21;1,83;2,75;3,26;3,65;4,40;2,17;3,84;0,24;4,98;6,97;;;;;;
341;7;12;49;1,99;28,94;337,59;4,40;97,45;4,51;3,54;3,78;3,83;3,95;4,44;3,79;5,73;2,16;0,40;8,37;;;;;;
342;8;12;49;0,00;-174,30;406,19;4,21;91,40;4,91;3,32;3,93;4,15;4,28;4,67;3,59;5,61;2,73;0,00;8,26;;;;;;
343;9;12;49;0,00;-1,75;452,63;6,38;95,08;4,18;4,05;4,30;4,37;4,45;4,78;4,22;8,06;5,18;1,00;9,60;;;;;;
344;10;12;50;5,37;45,06;176,52;9,54;95,63;7,30;5,88;5,53;5,20;5,04;5,12;5,96;12,18;7,21;4,38;11,92;;;;;;
345;11;12;50;3,58;-200,92;141,64;10,70;93,70;5,24;7,48;7,07;6,48;6,08;5,82;7,60;12,13;9,49;3,58;12,87;;;;;;
346;12;12;50;1,19;-90,00;159,41;7,89;99,85;4,19;6,98;7,10;6,83;6,57;6,36;7,17;9,82;5,94;2,39;10,66;;;;;;
347;13;12;50;2,79;137,73;439,09;5,46;97,44;4,37;6,12;6,60;6,60;6,51;6,48;6,35;6,37;4,55;3,78;9,01;;;;;;
348;14;12;50;4,38;-94,38;282,94;4,14;98,20;4,66;5,38;6,06;6,21;6,24;6,37;5,62;6,92;2,28;2,59;8,21;;;;;;
349;15;12;50;0,40;-114,95;106,65;0,09;89,85;4,64;3,46;4,77;5,34;5,61;6,01;3,81;2,36;-2,26;0,00;6,15;;;;;;
350;16;12;50;0,00;-178,34;533,02;-6,46;83,96;6,90;1,49;3,16;4,05;4,56;5,30;1,91;-2,42;-9,43;0,00;3,77;;;;;;
351;17;12;51;0,00;-567,14;766,32;-8,57;81,67;7,26;0,06;1,95;2,95;3,58;4,52;0,60;-6,09;-10,72;0,00;3,20;;;;;;
352;18;12;51;0,00;154,92;310,84;-3,03;90,39;4,40;-0,23;1,36;2,26;2,90;3,87;0,23;-0,22;-6,72;0,00;4,89;;;;;;
353;19;12;51;1,00;83,25;481,60;-0,17;98,31;3,00;0,00;1,24;1,99;2,56;3,45;0,34;3,42;-3,01;1,00;6,03;;;;;;
354;20;12;51;0,20;7,36;248,19;0,52;102,48;1,72;0,10;1,20;1,85;2,36;3,18;0,40;3,17;-1,48;6,37;6,34;;;;;;
355;21;12;51;20,10;40,25;72,33;0,09;104,53;1,07;0,15;1,17;1,75;2,20;2,98;0,49;0,47;-0,30;14,73;6,15;;;;;;
356;22;12;51;3,38;74,23;352,47;0,18;105,56;0,67;0,21;1,18;1,68;2,09;2,81;0,60;0,70;-0,10;2,79;6,19;;;;;;
357;23;12;51;0,20;14,67;139,44;1,04;102,60;1,65;0,32;1,22;1,68;2,06;2,72;0,63;1,50;0,59;0,00;6,59;;;;;;
358;24;12;52;3,78;175,16;103,62;4,78;102,23;4,44;0,44;1,28;1,71;2,07;2,67;0,74;9,07;1,66;4,38;8,60;;;;;;
359;25;12;52;3,58;-17,42;387,44;10,29;87,07;6,71;2,60;2,38;2,22;2,34;2,74;2,83;12,08;8,83;3,18;12,53;;;;;;
360;26;12;52;3,18;-118,12;311,86;8,75;84,89;9,30;5,21;4,71;4,06;3,71;3,54;5,34;10,70;6,69;2,99;11,29;;;;;;
361;27;12;52;3,98;-67,41;318,52;5,84;96,82;4,82;4,88;4,96;4,66;4,42;4,25;5,08;6,96;4,57;3,98;9,25;;;;;;
362;28;12;52;0,00;-15,43;303,76;5,29;97,58;3,42;4,56;4,79;4,66;4,55;4,51;4,78;6,23;4,28;2,39;8,91;;;;;;
363;29;12;52;6,57;-71,41;149,65;4,26;96,91;4,72;4,11;4,56;4,57;4,55;4,60;4,37;5,37;3,13;4,18;8,29;;;;;;
364;30;12;52;0,00;-228,63;548,91;4,08;94,38;3,36;3,75;4,31;4,42;4,48;4,61;3,96;5,55;2,97;0,00;8,18;;;;;;
365;31;12;53;0,20;113,60;707,90;7,00;90,39;4,77;4,06;4,22;4,24;4,33;4,51;4,19;10,01;3,62;0,40;10,03;;;;;;
