"Tag";"Tag im
Monat";Woche;Monat;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";;;;;;;
81;21;12;3;0,00;1404,71;2296,83;0,63;100,95;3,24;999,00;0,47;0,28;0,37;0,44;1,10;4,45;-1,70;0,00;;;;;;;
82;22;12;3;2,39;804,89;1178,00;4,16;99,97;1,48;999,00;0,71;0,31;0,40;0,47;1,80;9,15;0,98;2,39;;;;;;;
83;23;12;3;1,99;1179,59;1737,88;5,29;101,80;1,68;999,00;1,16;0,32;0,41;0,48;2,61;10,08;-0,56;2,59;;;;;;;
84;24;12;3;0,80;643,40;724,78;7,43;99,71;3,36;999,00;2,36;0,60;0,52;0,60;4,28;8,57;4,95;0,20;;;;;;;
85;25;13;3;0,00;840,02;1365,41;3,80;98,95;3,35;999,00;2,99;2,09;1,51;1,32;3,73;5,50;2,43;0,00;;;;;;;
86;26;13;3;0,00;446,71;747,11;1,84;98,87;3,34;999,00;3,01;2,59;2,30;1,93;3,15;2,87;0,16;0,00;;;;;;;
87;27;13;3;0,00;2168,14;4853,08;1,30;66,52;3,61;999,00;2,69;2,36;2,21;2,01;2,94;5,54;-2,36;0,00;;;;;;;
88;28;13;3;0,00;938,64;2420,64;1,85;69,97;3,55;999,00;2,38;2,31;2,24;2,08;2,14;6,30;-2,04;0,40;;;;;;;
89;29;13;3;0,80;1298,90;2396,52;2,88;86,76;5,07;999,00;2,54;2,26;2,15;2,00;2,73;5,92;0,41;0,40;;;;;;;
90;30;13;3;0,00;1540,26;2987,85;1,07;84,88;4,90;999,00;2,54;2,37;2,28;2,11;2,50;3,95;-0,67;0,00;;;;;;;
91;31;13;3;0,00;1914,16;3969,82;0,25;90,24;4,17;999,00;2,62;2,35;2,25;2,12;2,79;3,42;-1,94;0,00;;;;;;;
92;1;14;4;1,39;1099,87;2810,69;-1,06;92,19;1,86;999,00;2,77;2,54;2,43;2,25;2,79;2,86;-6,09;1,39;;;;;;;
93;2;14;4;0,00;1387,94;3036,23;0,11;87,30;1,69;999,00;2,64;2,46;2,39;2,28;2,67;3,61;-3,57;0,00;;;;;;;
94;3;14;4;0,00;1609,50;3121,52;1,38;81,52;3,11;999,00;2,61;2,46;2,40;2,30;2,63;6,47;-2,74;0,00;;;;;;;
95;4;14;4;0,00;2268,13;4140,59;4,58;62,68;3,98;999,00;3,55;2,96;2,69;2,46;4,14;10,04;0,31;0,00;;;;;;;
96;5;14;4;0,00;442,01;1199,28;2,63;84,43;2,81;999,00;3,37;3,23;3,08;2,83;3,18;6,00;-1,21;0,00;;;;;;;
97;6;14;4;0,00;906,36;1558,49;5,61;94,21;2,80;999,00;4,18;3,56;3,26;2,94;4,79;7,93;3,68;0,00;;;;;;;
98;7;14;4;0,00;1996,40;3625,66;8,28;79,41;1,28;999,00;5,00;4,13;3,70;3,25;5,91;16,08;0,55;0,00;;;;;;;
99;8;15;4;0,00;2207,55;3824,14;8,28;83,55;3,45;999,00;6,58;5,55;4,87;4,11;7,48;12,61;5,47;0,00;;;;;;;
100;9;15;4;0,00;437,36;907,85;6,90;88,60;1,50;999,00;6,70;6,04;5,51;4,79;7,05;8,44;5,81;0,00;;;;;;;
101;10;15;4;0,00;2124,94;3954,63;8,94;77,61;1,61;999,00;6,98;6,02;5,48;4,87;7,98;14,20;2,39;0,00;;;;;;;
102;11;15;4;6,97;153,87;474,76;5,29;95,59;2,99;999,00;7,55;6,95;6,39;5,58;7,59;8,76;1,02;6,97;;;;;;;
103;12;15;4;0,00;1317,92;3209,37;0,32;75,55;3,06;999,00;5,08;5,29;5,36;5,19;4,53;2,67;-2,89;0,00;;;;;;;
104;13;15;4;0,00;1388,36;2351,09;3,76;81,01;3,36;999,00;4,66;4,61;4,64;4,59;4,61;7,69;0,15;0,00;;;;;;;
105;14;15;4;0,00;1799,83;3636,30;6,52;68,82;1,92;999,00;5,62;5,05;4,80;4,54;6,15;10,90;1,11;0,00;;;;;;;
106;15;16;4;0,00;2945,85;5875,01;6,68;65,53;1,32;999,00;6,23;5,49;5,12;4,74;6,94;14,15;-1,54;0,00;;;;;;;
107;16;16;4;0,00;2478,30;5793,79;9,88;58,51;1,80;999,00;7,58;6,55;5,94;5,29;8,55;17,04;1,39;0,00;;;;;;;
108;17;16;4;0,00;2434,26;5892,14;11,98;47,58;2,59;999,00;8,42;7,45;6,78;6,00;9,13;19,03;3,60;0,00;;;;;;;
109;18;16;4;0,40;2069,89;4799,46;12,21;67,21;2,38;999,00;8,68;7,83;7,24;6,46;9,36;18,32;5,60;0,00;;;;;;;
110;19;16;4;0,00;2455,70;5506,84;14,29;66,63;2,30;999,00;9,59;8,49;7,77;6,86;10,62;21,25;6,23;0,00;;;;;;;
111;20;16;4;0,00;2091,34;5173,79;17,25;55,59;2,07;999,00;10,77;9,48;8,61;7,52;11,98;24,78;9,49;0,00;;;;;;;
112;21;16;4;0,00;2152,53;5523,83;18,66;47,08;2,87;999,00;11,76;10,43;9,49;8,28;12,96;25,95;10,05;0,00;;;;;;;
113;22;17;4;0,00;2390,34;5713,61;19,15;50,78;2,40;999,00;12,55;11,19;10,22;8,95;13,81;26,68;11,45;0,00;;;;;;;
114;23;17;4;2,19;1825,50;4100,04;18,58;60,67;3,07;999,00;13,29;11,96;10,98;9,66;14,37;24,32;12,69;12,34;;;;;;;
115;24;17;4;10,35;2430,40;3993,14;12,93;84,73;2,98;999,00;13,44;12,37;11,53;10,29;14,06;16,07;10,10;0,20;;;;;;;
116;25;17;4;0,00;2364,64;4720,33;11,50;79,99;3,46;999,00;12,35;11,72;11,18;10,31;12,69;15,05;8,62;0,00;;;;;;;
117;26;17;4;0,00;1522,13;3089,10;10,79;84,78;3,62;999,00;11,38;11,03;10,70;10,07;11,44;14,53;4,87;0,00;;;;;;;
118;27;17;4;0,00;2322,38;4752,50;14,11;83,93;1,87;999,00;12,36;11,25;10,62;9,85;13,44;17,58;10,84;0,00;;;;;;;
119;28;17;4;0,00;1435,38;3269,33;12,09;83,05;2,73;999,00;12,76;11,97;11,33;10,43;13,21;15,02;8,62;0,20;;;;;;;
120;29;18;4;0,20;1611,01;3816,53;7,74;77,59;2,12;999,00;11,73;11,32;10,95;10,37;11,88;10,70;5,25;0,00;;;;;;;
121;30;18;4;0,00;2117,47;4886,29;9,62;77,21;2,06;999,00;11,65;11,00;10,60;10,08;12,23;13,56;6,34;0,00;;;;;;;
122;1;18;5;2,39;2100,70;4908,95;11,83;79,86;2,76;999,00;12,02;11,25;10,76;10,15;12,65;17,17;6,27;0,00;;;;;;;
123;2;18;5;1,19;922,20;2068,53;11,41;93,78;2,36;999,00;11,96;11,47;11,04;10,42;12,12;15,22;8,07;2,40;;;;;;;
124;3;18;5;0,20;1095,41;2183,32;9,43;98,26;2,15;999,00;11,34;11,02;10,74;10,28;11,38;13,15;5,30;1,20;;;;;;;
125;4;18;5;0,00;1769,69;3199,54;7,98;82,65;4,73;999,00;10,66;10,55;10,39;10,05;10,43;10,63;6,20;0,20;;;;;;;
126;5;18;5;0,00;1300,95;3436,12;5,96;76,67;3,15;999,00;9,37;9,55;9,62;9,54;8,92;9,36;1,05;0,00;;;;;;;
127;6;19;5;0,00;2267,66;5236,32;7,13;68,02;1,60;999,00;9,54;9,20;9,10;9,00;9,85;12,39;-1,27;0,00;;;;;;;
128;7;19;5;0,00;2002,62;4461,25;9,44;70,78;2,90;999,00;10,59;10,03;9,68;9,28;11,00;12,94;3,20;0,00;;;;;;;
129;8;19;5;7,16;863,46;1804,00;9,64;73,93;3,21;999,00;10,58;10,26;9,99;9,58;10,62;11,33;8,11;0,00;;;;;;;
130;9;19;5;1,99;1048,61;1861,59;6,09;86,90;3,92;999,00;9,80;9,80;9,71;9,47;9,42;8,78;3,80;8,80;;;;;;;
131;10;19;5;0,00;609,09;1012,94;5,12;100,73;2,65;999,00;8,51;8,77;8,94;8,96;8,00;6,52;3,60;0,40;;;;;;;
132;11;19;5;0,00;967,43;1561,65;7,35;98,39;1,31;999,00;8,92;8,70;8,65;8,59;9,17;9,44;5,41;0,00;;;;;;;
133;12;19;5;0,40;1019,87;1601,53;9,61;95,95;1,91;999,00;9,83;9,33;9,06;8,75;10,27;12,01;7,81;0,20;;;;;;;
134;13;20;5;0,00;650,58;933,13;9,84;99,78;3,87;999,00;10,18;9,75;9,47;9,07;10,41;11,85;8,17;0,20;;;;;;;
135;14;20;5;0,20;1134,72;1833,21;10,26;97,47;3,48;999,00;10,37;9,85;9,56;9,16;10,83;13,15;8,29;0,00;;;;;;;
136;15;20;5;0,00;1195,13;2144,74;8,33;89,60;3,74;999,00;10,40;10,05;9,79;9,37;10,48;9,81;6,70;0,20;;;;;;;
137;16;20;5;0,80;3248,41;6294,86;8,45;74,10;2,29;999,00;10,79;9,97;9,59;9,22;11,78;12,26;3,65;0,20;;;;;;;
138;17;20;5;2,39;2249,25;4199,21;14,30;83,72;2,88;999,00;12,52;11,38;10,67;9,87;13,65;19,91;8,82;0,80;;;;;;;
139;18;20;5;8,56;2457,73;4656,40;15,81;88,96;2,40;999,00;14,22;12,78;11,83;10,73;15,63;20,57;12,66;2,20;;;;;;;
140;19;20;5;1,99;2269,03;4262,15;15,74;88,85;2,68;999,00;14,73;13,50;12,64;11,54;15,79;20,59;12,09;10,30;;;;;;;
141;20;21;5;12,34;2650,53;4800,56;11,83;84,25;3,81;999,00;14,51;13,71;13,04;12,07;14,85;15,46;7,94;0,20;;;;;;;
142;21;21;5;0,00;1965,44;3900,07;10,67;86,75;2,03;999,00;13,30;12,87;12,50;11,89;13,38;16,09;5,10;12,30;;;;;;;
143;22;21;5;1,59;1636,37;3308,48;11,03;87,49;2,04;999,00;12,97;12,53;12,21;11,69;13,21;14,86;7,49;1,20;;;;;;;
144;23;21;5;1,00;1023,94;2136,35;11,87;93,09;3,42;999,00;12,93;12,51;12,18;11,63;13,07;14,87;9,63;0,60;;;;;;;
145;24;21;5;7,96;2102,82;3509,94;15,64;85,07;3,03;999,00;13,27;12,47;12,03;11,46;14,07;20,42;11,31;0,80;;;;;;;
146;25;21;5;2,19;1148,79;2146,64;13,72;95,49;3,55;999,00;14,12;13,35;12,78;11,98;14,55;16,12;11,08;8,20;;;;;;;
147;26;21;5;11,14;2261,79;4025,71;12,25;90,52;3,53;999,00;13,70;13,12;12,72;12,10;14,04;15,33;9,39;3,40;;;;;;;
148;27;22;5;0,00;1666,78;2840,35;12,29;95,59;4,72;999,00;13,72;13,16;12,78;12,15;13,97;14,57;7,69;9,80;;;;;;;
149;28;22;5;0,00;2833,93;5566,83;8,71;81,32;5,77;999,00;12,61;12,55;12,42;12,04;12,25;11,91;5,85;0,00;;;;;;;
150;29;22;5;0,00;2857,96;4919,48;13,69;81,98;3,20;999,00;12,70;12,17;11,91;11,57;13,28;19,79;6,27;0,00;;;;;;;
151;30;22;5;0,00;3089,37;6049,66;19,18;78,94;2,08;999,00;15,01;13,63;12,83;11,96;16,56;24,72;13,15;0,00;;;;;;;
152;31;22;5;7,36;3598,98;7216,78;20,82;76,46;3,28;999,00;16,90;15,36;14,32;13,07;18,40;27,65;14,76;0,00;;;;;;;
153;1;22;6;11,74;314,47;890,13;13,35;99,67;1,97;999,00;16,66;15,98;15,27;14,13;16,69;16,57;10,91;2,80;;;;;;;
154;2;22;6;1,00;532,25;1044,70;10,31;103,15;2,23;999,00;14,56;14,49;14,32;13,80;14,25;12,15;7,94;11,70;;;;;;;
155;3;23;6;0,20;793,00;1616,75;11,42;98,80;1,74;999,00;13,82;13,62;13,49;13,16;13,82;13,97;9,07;1,00;;;;;;;
156;4;23;6;0,00;3978,28;7075,73;14,42;87,21;2,36;999,00;14,33;13,60;13,22;12,76;15,18;20,90;7,11;0,00;;;;;;;
157;5;23;6;0,00;3930,96;7279,02;17,41;81,39;2,12;999,00;16,12;14,92;14,16;13,28;17,38;23,78;8,93;0,00;;;;;;;
158;6;23;6;0,00;3994,06;7563,63;21,35;75,42;1,45;999,00;17,46;16,08;15,15;14,01;18,91;29,09;11,83;0,00;;;;;;;
159;7;23;6;1,39;3921,89;7217,43;24,58;76,48;1,34;999,00;19,25;17,54;16,37;14,95;21,01;31,13;16,34;0,00;;;;;;;
160;8;23;6;0,40;3026,33;5775,95;23,62;79,22;2,46;999,00;20,21;18,67;17,50;15,96;21,45;29,41;18,19;1,40;;;;;;;
161;9;23;6;0,00;2103,55;4022,94;19,65;91,33;1,86;999,00;19,70;18,68;17,81;16,52;20,37;23,61;15,57;0,40;;;;;;;
