time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
2,10,3,1,2,3,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,16,17,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.00941937,0.22095700000000001,0.169967,-0.145341,-0.124123,19.1587,1.2919999999999998,0.185001
2,11,3,1,2,3,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,17,18,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.0144686,0.221654,0.170503,-0.145341,-0.12386400000000002,19.1782,1.31154,0.184582
2,12,3,1,2,3,2,0,0.0075,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0125,18,19,0.1,,,0.0001401689298628721,0.0023382580359966997,,0.0222023,0.22265500000000002,0.171273,-0.145341,-0.12360499999999999,19.1947,1.32802,0.184158
2,13,3,1,3,3,2,0,0.01,3.9666573232323245e-09,,,,,,,1,,0.0,0.0,-0.01,19,20,0.1,,,0.0001401689298628721,0.002338258035996706,,0.0341259,0.22413000000000002,0.172408,-0.145341,-0.123349,19.2101,1.3433700000000002,0.18373
2,14,2,6,1,1,3,1,0.011832470002755389,1.635475625107479e-09,0.8106359040000002,1226.5872798232608,0.9349642286541388,0.000660887257951024,0.9349642286541388,0.8099750167420492,2,0.1832470002755393,-0.0017023323985614265,-0.00045072626929059306,-0.030730750489318594,20,21,0.075,,,0.0001401689298628721,0.0023382580359967123,16.0,-1.4279700000000002,0.00511634,0.00393565,-0.1,-0.165987,19.2252,1.35847,0.183299
2,15,2,6,1,2,4,1,0.02023677937369166,2.1132509324499036e-10,0.7336431360000001,1110.0881839885128,0.9349642286541388,0.000660887257951024,0.9349642286541388,0.7329822487420491,2,0.023677937369166457,-1.0377086908107176e-05,0.0019038500536056055,-0.03986189967925517,21,22,0.075,,,0.0001401689298628721,0.0023382580359966997,17.0,-1.40241,0.00463039,0.00356184,-0.1,-0.172926,19.2404,1.3737,0.182866
2,16,2,1,2,0,1,0,0.022499999999999992,3.966657323232317e-09,,,,,,,1,,-0.0003679149414462908,0.0016484838532210846,-0.04230457461856104,22,23,0.1,,,0.0001401689298628721,0.00043027136193008153,,0.0271361,0.186146,0.14319,-0.118848,-0.173556,19.256,1.38927,0.18243199999999998
2,17,2,1,2,0,1,0,0.02499999999999999,3.966657323232323e-09,,,,,,,1,,-0.0006152185720697667,0.0019380883406684385,-0.044775398399232336,5,14,0.1,,,817.5557556665477,0.010833636085673282,,0.019546099999999997,0.18295699999999998,0.140736,-0.11616199999999999,-0.175593,3.93726e-05,1.47852,0.23455900000000002
2,18,2,1,2,0,1,0,0.02749999999999999,3.966657323232323e-09,,,,,,,1,,-0.0008528099756798468,0.0021900046043894887,-0.04725129995644405,9,15,0.1,,,817.5557556665447,0.0013998491453131525,,0.0164767,0.180273,0.13867100000000002,-0.113474,-0.177656,2.63336e-05,1.44815,0.212281
2,19,2,1,2,0,1,0,0.029999999999999985,3.966657323232317e-09,,,,,,,1,,-0.0011164003322468121,0.0021842095057192897,-0.04973735839114672,10,1,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.015353799999999999,0.177798,0.136768,-0.11078299999999999,-0.179741,18.6814,3.7413,0.635898
2,20,2,1,2,0,1,0,0.03249999999999999,3.966657323232327e-09,,,,,,,1,,-0.0012253906003422078,0.0023339709330477327,-0.052230487476522175,11,10,0.1,,,1e-09,0.0001,,0.0150952,0.17540999999999998,0.134931,-0.108091,-0.181845,18.6719,3.7318800000000003,0.636299
2,21,2,1,2,0,1,0,0.034999999999999996,3.966657323232338e-09,,,,,,,1,,-0.0013654202960972548,0.002464561528332497,-0.05472314424806734,12,11,0.1,,,1e-09,0.0001,,0.0152352,0.173055,0.13311900000000002,-0.105396,-0.183969,18.6574,3.7174099999999997,0.636694
