node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
36932 36933 29 1.1669 0.0130 -3.3885 1.2469 0.0147 -3.4252 0.0403 0.1983 30.0000 1 2 29  
18510 18511 15 -1.0187 0.3472 -3.3515 -1.1299 0.3944 -3.3955 0.0380 0.1983 30.0000 1 2 15  
16100 16101 13 0.1526 -0.7684 -2.9765 0.2298 -1.2617 -3.0024 0.0426 0.2003 30.0000 1 2 13  
39663 39664 31 -0.0734 0.6009 -3.1494 -0.1318 1.0734 -3.3022 0.0419 0.2011 30.0000 1 2 31  
23863 23864 19 0.0485 0.6480 -3.3274 0.0781 1.1053 -3.5272 0.0417 0.2015 30.0000 1 2 19  
9398 9399 8 -0.6454 0.2681 -3.2186 -1.0889 0.4294 -3.3838 0.0472 0.2016 30.0000 1 2 8  
35431 35432 28 -0.9691 -0.3541 -3.4737 -1.1021 -0.4081 -3.5711 0.0441 0.2028 30.0000 1 2 28  
21283 21284 17 0.4876 0.2963 -3.3894 0.8667 0.4421 -3.6810 0.0366 0.2066 30.0000 1 2 17  
25159 25160 20 0.6200 -0.3996 -3.1098 0.9374 -0.7355 -3.3007 0.0359 0.2076 30.0000 1 2 20  
14754 14755 12 -0.4205 -0.5413 -3.0570 -0.7356 -0.8913 -3.1094 0.0343 0.2084 30.0000 1 2 12  
6597 6598 6 -0.2576 0.6246 -3.2442 -0.3040 1.0829 -3.4386 0.0444 0.2090 30.0000 1 2 6  
30333 30334 24 0.3164 0.5612 -3.2999 0.4933 0.9370 -3.5783 0.0412 0.2110 30.0000 1 2 24  
9399 9400 8 -1.0889 0.4294 -3.3838 -1.1399 0.4492 -3.4056 0.0472 0.2113 30.0000 1 2 8  
39664 39665 31 -0.1318 1.0734 -3.3022 -0.1359 1.1379 -3.3233 0.0419 0.2134 30.0000 1 2 31  
23864 23865 19 0.0781 1.1053 -3.5272 0.0825 1.1770 -3.5600 0.0417 0.2145 30.0000 1 2 19  
32813 32814 26 -0.0932 -0.7286 -3.1022 -0.1655 -1.2117 -3.2089 0.0435 0.2163 30.0000 1 2 26  
34120 34121 27 0.4534 0.8813 -3.5352 0.5056 0.9793 -3.6219 0.0379 0.2175 30.0000 1 2 27  
16101 16102 13 0.2298 -1.2617 -3.0024 0.2524 -1.3820 -3.0029 0.0426 0.2195 30.0000 1 2 13  
1309 1310 2 0.5210 -1.0381 -3.2769 0.5801 -1.1582 -3.3056 0.0390 0.2212 30.0000 1 2 2  
19943 19944 16 -0.6134 0.0204 -3.2210 -1.0596 0.0493 -3.4449 0.0388 0.2224 30.0000 1 2 16  
12147 12148 10 -0.2989 -1.0019 -3.5964 -0.2907 -1.4161 -3.8763 0.0353 0.2263 30.0000 1 2 10  
31626 31627 25 0.5707 0.4452 -3.2230 0.9472 0.7074 -3.3958 0.0456 0.2272 30.0000 1 2 25  
3848 3849 4 0.1081 0.6867 -3.0481 0.0470 1.1830 -3.0447 0.0438 0.2277 30.0000 1 2 4  
27506 27507 22 0.6259 0.3703 -3.1864 1.0418 0.5911 -3.3545 0.0406 0.2285 30.0000 1 2 22  
25160 25161 20 0.9374 -0.7355 -3.3007 1.0154 -0.8233 -3.3568 0.0359 0.2294 30.0000 1 2 20  
2744 2745 3 -0.6872 -0.1445 -3.1615 -1.1471 -0.2939 -3.2886 0.0364 0.2310 30.0000 1 2 3  
30334 30335 24 0.4933 0.9370 -3.5783 0.5312 1.0195 -3.6494 0.0412 0.2313 30.0000 1 2 24  
21284 21285 17 0.8667 0.4421 -3.6810 0.9698 0.4892 -3.7716 0.0366 0.2319 30.0000 1 2 17  
6598 6599 6 -0.3040 1.0829 -3.4386 -0.2983 1.2035 -3.5028 0.0444 0.2326 30.0000 1 2 6  
17523 17524 14 -0.1481 0.4865 -3.3421 -0.3211 0.8374 -3.6534 0.0418 0.2341 30.0000 1 2 14  
19944 19945 16 -1.0596 0.0493 -3.4449 -1.1354 0.0541 -3.4845 0.0388 0.2391 30.0000 1 2 16  
27507 27508 22 1.0418 0.5911 -3.3545 1.0959 0.6270 -3.3834 0.0406 0.2415 30.0000 1 2 22  
13433 13434 11 0.1176 -0.7224 -3.1261 0.2138 -1.1870 -3.2838 0.0422 0.2419 30.0000 1 2 11  
3849 3850 4 0.0470 1.1830 -3.0447 0.0326 1.2577 -3.0536 0.0438 0.2423 30.0000 1 2 4  
2745 2746 3 -1.1471 -0.2939 -3.2886 -1.1978 -0.3175 -3.3107 0.0364 0.2424 30.0000 1 2 3  
32814 32815 26 -0.1655 -1.2117 -3.2089 -0.1827 -1.3427 -3.2806 0.0435 0.2427 30.0000 1 2 26  
22490 22491 18 1.0408 0.1736 -3.4378 1.4900 0.1960 -3.6563 0.0366 0.2443 30.0000 1 2 18  
10611 10612 9 -0.6653 0.8519 -3.5462 -0.9476 1.1644 -3.8157 0.0364 0.2450 30.0000 1 2 9  
38132 38133 30 -0.1755 -1.2510 -3.3861 -0.2916 -1.6820 -3.6113 0.0332 0.2483 30.0000 1 2 30  
10612 10613 9 -0.9476 1.1644 -3.8157 -0.9583 1.1789 -3.8312 0.0364 0.2484 30.0000 1 2 9  
12148 12149 10 -0.2907 -1.4161 -3.8763 -0.2951 -1.5513 -3.9840 0.0353 0.2493 30.0000 1 2 10  
5188 5189 5 -1.0478 -0.2024 -3.4787 -1.4739 -0.2521 -3.7355 0.0365 0.2576 30.0000 1 2 5  
26224 26225 21 0.9778 -0.4174 -3.6668 1.3209 -0.5085 -4.0093 0.0361 0.2584 30.0000 1 2 21  
22491 22492 18 1.4900 0.1960 -3.6563 1.5802 0.1924 -3.6977 0.0366 0.2592 30.0000 1 2 18  
17524 17525 14 -0.3211 0.8374 -3.6534 -0.3698 0.9306 -3.7402 0.0418 0.2630 30.0000 1 2 14  
7904 7905 7 0.2360 -1.1489 -3.3786 0.2479 -1.6089 -3.5743 0.0277 0.2635 30.0000 1 2 7  
28877 28878 23 -1.2614 0.1047 -3.5809 -1.6755 0.2523 -3.8191 0.0385 0.2657 30.0000 1 2 23  
