x1 y1 z1 x2 y2 z2 radius R G B time type organ 
4.3964 0.1954 -11.7617 4.3947 0.2500 -12.0057 0.2000 1.0000 0.0000 0.0000 2.4745 1.0000 2.0000 
4.3947 0.2500 -12.0057 4.3947 0.2500 -12.0057 0.2000 1.0000 0.0000 0.0000 2.4745 1.0000 2.0000 
4.3947 0.2500 -12.0057 4.3762 0.2886 -12.2520 0.2000 1.0000 0.0000 0.0000 2.5328 1.0000 2.0000 
4.3762 0.2886 -12.2520 4.3761 0.3216 -12.4998 0.2000 1.0000 0.0000 0.0000 2.5913 1.0000 2.0000 
4.3761 0.3216 -12.4998 4.3811 0.3540 -12.7477 0.2000 1.0000 0.0000 0.0000 2.6499 1.0000 2.0000 
4.3811 0.3540 -12.7477 4.4015 0.3778 -12.9957 0.2000 1.0000 0.0000 0.0000 2.7085 1.0000 2.0000 
4.4015 0.3778 -12.9957 4.4015 0.3778 -12.9957 0.2000 1.0000 0.0000 0.0000 2.7085 1.0000 2.0000 
4.4015 0.3778 -12.9957 4.4193 0.4027 -13.2438 0.2000 1.0000 0.0000 0.0000 2.7673 1.0000 2.0000 
4.4193 0.4027 -13.2438 4.4123 0.4087 -13.4936 0.2000 1.0000 0.0000 0.0000 2.8261 1.0000 2.0000 
4.4123 0.4087 -13.4936 4.4189 0.4056 -13.7435 0.2000 1.0000 0.0000 0.0000 2.8851 1.0000 2.0000 
4.4189 0.4056 -13.7435 4.3893 0.4046 -13.9918 0.2000 1.0000 0.0000 0.0000 2.9441 1.0000 2.0000 
4.3893 0.4046 -13.9918 4.3893 0.4046 -13.9918 0.2000 1.0000 0.0000 0.0000 2.9441 1.0000 2.0000 
4.3893 0.4046 -13.9918 4.4009 0.3627 -14.2380 0.2000 1.0000 0.0000 0.0000 3.0033 1.0000 2.0000 
4.4009 0.3627 -14.2380 4.4166 0.3148 -14.4828 0.2000 1.0000 0.0000 0.0000 3.0625 1.0000 2.0000 
4.4166 0.3148 -14.4828 4.4302 0.2742 -14.7291 0.2000 1.0000 0.0000 0.0000 3.1219 1.0000 2.0000 
4.4302 0.2742 -14.7291 4.4432 0.2464 -14.9772 0.2000 1.0000 0.0000 0.0000 3.1813 1.0000 2.0000 
4.4432 0.2464 -14.9772 4.4550 0.2207 -15.2256 0.2000 1.0000 0.0000 0.0000 3.2409 1.0000 2.0000 
4.4550 0.2207 -15.2256 4.4667 0.1845 -15.4727 0.2000 1.0000 0.0000 0.0000 3.3005 1.0000 2.0000 
4.4667 0.1845 -15.4727 4.4773 0.1446 -15.7193 0.2000 1.0000 0.0000 0.0000 3.3603 1.0000 2.0000 
4.4773 0.1446 -15.7193 4.4810 0.0897 -15.9631 0.2000 1.0000 0.0000 0.0000 3.4202 1.0000 2.0000 
4.4810 0.0897 -15.9631 4.4845 0.0196 -16.2031 0.2000 1.0000 0.0000 0.0000 3.4802 1.0000 2.0000 
4.4845 0.0196 -16.2031 4.4809 -0.0584 -16.4406 0.2000 1.0000 0.0000 0.0000 3.5402 1.0000 2.0000 
4.4809 -0.0584 -16.4406 4.4784 -0.1646 -16.6669 0.2000 1.0000 0.0000 0.0000 3.6004 1.0000 2.0000 
4.4784 -0.1646 -16.6669 4.4759 -0.2708 -16.8932 0.2000 1.0000 0.0000 0.0000 3.6607 1.0000 2.0000 
4.4759 -0.2708 -16.8932 4.4566 -0.3906 -17.1117 0.2000 1.0000 0.0000 0.0000 3.7211 1.0000 2.0000 
4.4566 -0.3906 -17.1117 4.4286 -0.5013 -17.3341 0.2000 1.0000 0.0000 0.0000 3.7816 1.0000 2.0000 
4.4286 -0.5013 -17.3341 4.4144 -0.5684 -17.5746 0.2000 1.0000 0.0000 0.0000 3.8422 1.0000 2.0000 
4.4144 -0.5684 -17.5746 4.4239 -0.6507 -17.8104 0.2000 1.0000 0.0000 0.0000 3.9029 1.0000 2.0000 
4.4239 -0.6507 -17.8104 4.4005 -0.6951 -18.0553 0.2000 1.0000 0.0000 0.0000 3.9637 1.0000 2.0000 
4.4005 -0.6951 -18.0553 4.4294 -0.7456 -18.2985 0.2000 1.0000 0.0000 0.0000 4.0247 1.0000 2.0000 
4.4294 -0.7456 -18.2985 4.4294 -0.7456 -18.2985 0.2000 1.0000 0.0000 0.0000 4.0247 1.0000 2.0000 
4.4294 -0.7456 -18.2985 4.4599 -0.7963 -18.5413 0.2000 1.0000 0.0000 0.0000 4.0857 1.0000 2.0000 
4.4599 -0.7963 -18.5413 4.4927 -0.8327 -18.7865 0.2000 1.0000 0.0000 0.0000 4.1469 1.0000 2.0000 
4.4927 -0.8327 -18.7865 4.4927 -0.8327 -18.7865 0.2000 1.0000 0.0000 0.0000 4.1469 1.0000 2.0000 
4.4927 -0.8327 -18.7865 4.5121 -0.8413 -19.0356 0.2000 1.0000 0.0000 0.0000 4.2081 1.0000 2.0000 
4.5121 -0.8413 -19.0356 4.5283 -0.8196 -19.2841 0.2000 1.0000 0.0000 0.0000 4.2695 1.0000 2.0000 
4.5283 -0.8196 -19.2841 4.5485 -0.8357 -19.5328 0.2000 1.0000 0.0000 0.0000 4.3309 1.0000 2.0000 
4.5485 -0.8357 -19.5328 4.5723 -0.8530 -19.7811 0.2000 1.0000 0.0000 0.0000 4.3925 1.0000 2.0000 
4.5723 -0.8530 -19.7811 4.5962 -0.8702 -20.0293 0.2000 1.0000 0.0000 0.0000 4.4542 1.0000 2.0000 
4.5962 -0.8702 -20.0293 4.6186 -0.8810 -20.2781 0.2000 1.0000 0.0000 0.0000 4.5160 1.0000 2.0000 
4.6186 -0.8810 -20.2781 4.6436 -0.8914 -20.5266 0.2000 1.0000 0.0000 0.0000 4.5779 1.0000 2.0000 
4.6436 -0.8914 -20.5266 4.6655 -0.8772 -20.7753 0.2000 1.0000 0.0000 0.0000 4.6399 1.0000 2.0000 
4.6655 -0.8772 -20.7753 4.6937 -0.8559 -21.0228 0.2000 1.0000 0.0000 0.0000 4.7021 1.0000 2.0000 
4.6937 -0.8559 -21.0228 4.7587 -0.8076 -21.2593 0.2000 1.0000 0.0000 0.0000 4.7643 1.0000 2.0000 
4.7587 -0.8076 -21.2593 4.8221 -0.7570 -21.4957 0.2000 1.0000 0.0000 0.0000 4.8267 1.0000 2.0000 
4.8221 -0.7570 -21.4957 4.8811 -0.7077 -21.7336 0.2000 1.0000 0.0000 0.0000 4.8891 1.0000 2.0000 
4.8811 -0.7077 -21.7336 4.9620 -0.6271 -21.9560 0.2000 1.0000 0.0000 0.0000 4.9517 1.0000 2.0000 
4.9620 -0.6271 -21.9560 5.0424 -0.5478 -22.1790 0.2000 1.0000 0.0000 0.0000 5.0144 1.0000 2.0000 
5.0424 -0.5478 -22.1790 5.0424 -0.5478 -22.1791 0.2000 1.0000 0.0000 0.0000 5.0144 1.0000 2.0000 
5.0424 -0.5478 -22.1791 5.1224 -0.4692 -22.4025 0.2000 1.0000 0.0000 0.0000 5.0772 1.0000 2.0000 
5.1224 -0.4692 -22.4025 5.2086 -0.3833 -22.6208 0.2000 1.0000 0.0000 0.0000 5.1402 1.0000 2.0000 
5.2086 -0.3833 -22.6208 5.2086 -0.3833 -22.6208 0.2000 1.0000 0.0000 0.0000 5.1402 1.0000 2.0000 
5.2086 -0.3833 -22.6208 5.3338 -0.3044 -22.8224 0.2000 1.0000 0.0000 0.0000 5.2032 1.0000 2.0000 
5.3338 -0.3044 -22.8224 5.4452 -0.2133 -23.0268 0.2000 1.0000 0.0000 0.0000 5.2664 1.0000 2.0000 
5.4452 -0.2133 -23.0268 5.4452 -0.2133 -23.0268 0.2000 1.0000 0.0000 0.0000 5.2664 1.0000 2.0000 
5.4452 -0.2133 -23.0268 5.5555 -0.1341 -23.2367 0.2000 1.0000 0.0000 0.0000 5.3297 1.0000 2.0000 
5.5555 -0.1341 -23.2367 5.6551 -0.0424 -23.4469 0.2000 1.0000 0.0000 0.0000 5.3930 1.0000 2.0000 
5.6551 -0.0424 -23.4469 5.7368 0.0622 -23.6587 0.2000 1.0000 0.0000 0.0000 5.4566 1.0000 2.0000 
5.7368 0.0622 -23.6587 5.8174 0.1456 -23.8802 0.2000 1.0000 0.0000 0.0000 5.5202 1.0000 2.0000 
5.8174 0.1456 -23.8802 5.9418 0.2085 -24.0877 0.2000 1.0000 0.0000 0.0000 5.5839 1.0000 2.0000 
5.9418 0.2085 -24.0877 6.0379 0.2680 -24.3107 0.2000 1.0000 0.0000 0.0000 5.6478 1.0000 2.0000 
6.0379 0.2680 -24.3107 6.1337 0.3297 -24.5332 0.2000 1.0000 0.0000 0.0000 5.7117 1.0000 2.0000 
6.1337 0.3297 -24.5332 6.1960 0.4034 -24.7639 0.2000 1.0000 0.0000 0.0000 5.7758 1.0000 2.0000 
6.1960 0.4034 -24.7639 6.1960 0.4034 -24.7639 0.2000 1.0000 0.0000 0.0000 5.7758 1.0000 2.0000 
6.1960 0.4034 -24.7639 6.2494 0.4454 -25.0045 0.2000 1.0000 0.0000 0.0000 5.8401 1.0000 2.0000 
6.2494 0.4454 -25.0045 6.3304 0.5126 -25.2312 0.2000 1.0000 0.0000 0.0000 5.9044 1.0000 2.0000 
6.3304 0.5126 -25.2312 6.3961 0.5840 -25.4616 0.2000 1.0000 0.0000 0.0000 5.9688 1.0000 2.0000 
6.3961 0.5840 -25.4616 6.4318 0.7040 -25.6780 0.2000 1.0000 0.0000 0.0000 6.0334 1.0000 2.0000 
6.4318 0.7040 -25.6780 6.4723 0.8262 -25.8923 0.2000 1.0000 0.0000 0.0000 6.0981 1.0000 2.0000 
6.4723 0.8262 -25.8923 6.5182 0.9271 -26.1164 0.2000 1.0000 0.0000 0.0000 6.1629 1.0000 2.0000 
