system,year,day,depth,measured_mean,measured_std,simulated_mean,simulated_std
minirhizo,1995,220.0,55,1.425,1.5917137404630735,1.0416666666666667,0.858980338670346
minirhizo,1995,220.0,60,1.8,1.3317973609098028,1.25,1.0206207261596576
minirhizo,1995,220.0,65,1.275,1.437056567761815,1.0,0.8036375634160796
minirhizo,1995,220.0,70,0.85,1.1367080817685316,1.4166666666666667,1.0573814617041266
minirhizo,1995,220.0,75,0.3684210526315789,0.43595696981716414,1.0416666666666667,0.5667279378639769
minirhizo,1995,220.0,80,0.8055555555555556,1.1522214974061922,0.75,1.1273124382057236
minirhizo,1995,220.0,85,0.8888888888888888,1.1318329168362207,1.2083333333333333,0.8090203266228166
minirhizo,1995,220.0,90,0.6578947368421053,1.1553334244439684,1.1666666666666667,0.7021791477646966
minirhizo,1995,220.0,95,0.6842105263157895,0.869395165167356,0.9166666666666666,0.60667582410671
minirhizo,1995,220.0,100,0.5263157894736842,0.611775290321498,1.25,1.2747548783981961
minirhizo,1995,220.0,105,0.3684210526315789,0.6633690372124431,1.3333333333333333,1.0172129679778086
minirhizo,1995,220.0,110,0.3333333333333333,0.5940885257860046,1.0833333333333333,0.8498365855987975
minirhizo,1995,220.0,115,0.23684210526315788,0.6317616694747663,1.25,1.14564392373896
minirhizo,1995,220.0,120,0.2777777777777778,0.5745131499601416,0.9166666666666666,0.6236095644623235
